tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
453,0.000333,0.000000,0.004000,0.003992,0
454,0.000000,0.000000,0.004000,0.003992,0
455,0.000000,0.000006,0.004000,0.003992,0
456,0.000333,0.000006,0.004000,0.003992,0
457,0.000000,0.000005,0.004000,0.003992,0
458,0.000000,0.000000,0.004000,0.003992,0
459,0.000000,0.000005,0.004000,0.003992,0
460,0.000000,0.000000,0.004000,0.003992,0
461,0.000000,0.000005,0.004000,0.003992,0
462,0.000333,0.000005,0.004000,0.003992,0
463,0.000000,0.000000,0.004000,0.003992,0
464,0.000000,0.000005,0.004000,0.003992,0
465,0.000000,0.000000,0.004000,0.003992,0
466,0.000000,0.000000,0.004000,0.003992,0
467,0.000000,0.000000,0.004000,0.003992,0
468,0.000333,0.000000,0.004000,0.003992,0
469,0.000000,0.000000,0.004000,0.003992,0
470,0.000000,0.000000,0.004000,0.003992,0
471,0.000000,0.000004,0.004000,0.003992,0
472,0.000000,0.000004,0.004000,0.003992,0
473,0.000000,0.000005,0.004000,0.003992,0
474,0.000000,0.000004,0.004000,0.003992,0
475,0.000000,0.000000,0.004000,0.003992,0
476,0.000000,0.000000,0.004000,0.003992,0
477,0.000000,0.000000,0.004000,0.003992,0
478,0.000000,0.000004,0.004000,0.003992,0
479,0.000000,0.000000,0.004000,0.003992,0
480,0.000000,0.000003,0.004000,0.003992,0
481,0.000000,0.000003,0.004000,0.003992,0
482,0.000000,0.000000,0.004000,0.003992,0
483,0.000000,0.000000,0.004000,0.003992,0
484,0.000000,0.000000,0.004000,0.003992,0
485,0.000000,0.000000,0.004000,0.003992,0
486,0.000000,0.000000,0.004000,0.003992,0
487,0.000000,0.000000,0.004000,0.003992,0
488,0.000000,0.000000,0.004000,0.003992,0
489,0.000000,0.000000,0.004000,0.003992,0
490,0.000000,0.000000,0.004000,0.003992,0
491,0.000000,0.000000,0.004000,0.003992,0
492,0.000000,0.000000,0.004000,0.003992,0
493,0.000000,0.000000,0.004000,0.003992,0
494,0.000000,0.000000,0.004000,0.003992,0
495,0.000000,0.000000,0.004000,0.003992,0
496,0.000000,0.000000,0.004000,0.003992,0
497,0.000000,0.000000,0.004000,0.003992,0
498,0.000000,0.000000,0.004000,0.003992,0
499,0.000000,0.000000,0.004000,0.003992,0
500,0.000000,0.000000,0.004000,0.003992,0
501,0.000000,0.000000,0.004000,0.003992,0
502,0.000000,0.000000,0.004000,0.003992,0
503,0.000000,0.000000,0.004000,0.003992,0
504,0.000000,0.000000,0.004000,0.003992,0
505,0.000000,0.000000,0.004000,0.003992,0
506,0.000000,0.000000,0.004000,0.003992,0
507,0.000000,0.000000,0.004000,0.003992,0
508,0.000000,0.000000,0.004000,0.003992,0
509,0.000000,0.000000,0.004000,0.003992,0
510,0.000333,0.000000,0.004000,0.003992,0
511,0.000000,0.000000,0.004000,0.003992,0
512,0.000000,0.000000,0.004000,0.003992,0
513,0.000000,0.000000,0.004000,0.003992,0
514,0.000000,0.000000,0.004000,0.003992,0
515,0.000000,0.000000,0.004000,0.003992,0
516,0.000000,0.000000,0.004000,0.003992,0
517,0.000000,0.000000,0.004000,0.003992,0
518,0.000000,0.000000,0.004000,0.003992,0
519,0.000000,0.000000,0.004000,0.003992,0
520,0.000000,0.000000,0.004000,0.003992,0
521,0.000000,0.000000,0.004000,0.003992,0
522,0.000000,0.000000,0.004000,0.003992,0
523,0.000000,0.000000,0.004000,0.003992,0
524,0.000000,0.000000,0.004000,0.003992,0
525,0.000000,0.000000,0.004000,0.003992,0
526,0.000000,0.000000,0.004000,0.003992,0
527,0.000333,0.000000,0.004000,0.003992,0
528,0.000000,0.000000,0.004000,0.003992,0
529,0.000000,0.000000,0.004000,0.003992,0
530,0.000000,0.000000,0.004000,0.003992,0
531,0.000000,0.000000,0.004000,0.003992,0
532,0.000000,0.000000,0.004000,0.003992,0
533,0.000000,0.000000,0.004000,0.003992,0
534,0.000000,0.000000,0.004000,0.003992,0
535,0.000000,0.000000,0.004000,0.003992,0
536,0.000000,0.000000,0.004000,0.003992,0
537,0.000000,0.000000,0.004000,0.003992,0
538,0.000000,0.000000,0.004000,0.003992,0
539,0.000000,0.000000,0.004000,0.003992,0
540,0.000000,0.000000,0.004000,0.003992,0
541,0.000000,0.000000,0.004000,0.003992,0
542,0.000000,0.000000,0.004000,0.003992,0
543,0.000000,0.000000,0.004000,0.003992,0
544,0.000000,0.000000,0.004000,0.003992,0
545,0.000000,0.000000,0.004000,0.003992,0
546,0.000000,0.000000,0.004000,0.003992,0
547,0.000000,0.000000,0.004000,0.003992,0
548,0.000000,0.000000,0.004000,0.003992,0
549,0.000000,0.000000,0.004000,0.003992,0
550,0.000000,0.000000,0.004000,0.003992,0
551,0.000000,0.000000,0.004000,0.003992,0
552,0.000333,0.000000,0.004000,0.003992,0
553,0.000000,0.000000,0.004000,0.003992,0
554,0.000000,0.000000,0.004000,0.003992,0
555,0.000000,0.000000,0.004000,0.003992,0
556,0.000000,0.000000,0.004000,0.003992,0
557,0.000000,0.000000,0.004000,0.003992,0
558,0.000000,0.000000,0.004000,0.003992,0
559,0.000000,0.000000,0.004000,0.003992,0
560,0.000000,0.000000,0.004000,0.003992,0
561,0.000000,0.000000,0.004000,0.003992,0
562,0.000000,0.000000,0.004000,0.003992,0
563,0.000000,0.000000,0.004000,0.003992,0
564,0.000000,0.000000,0.004000,0.003992,0
565,0.000000,0.000000,0.004000,0.003992,0
566,0.000000,0.000000,0.004000,0.003992,0
567,0.000000,0.000000,0.004000,0.003992,0
568,0.000000,0.000000,0.004000,0.003992,0
569,0.000000,0.000000,0.004000,0.003992,0
570,0.000000,0.000000,0.004000,0.003992,0
571,0.000000,0.000000,0.004000,0.003992,0
572,0.000000,0.000000,0.004000,0.003992,0
573,0.000000,0.000000,0.004000,0.003992,0
574,0.000000,0.000000,0.004000,0.003992,0
